submission_year,main_categories,count,yoy_growth
1996,adap-org,2,100.0
1996,alg-geom,2,100.0
1994,astro-ph,4,300.0
1995,astro-ph,8,100.0
1999,astro-ph,25,78.57142857142858
2001,astro-ph,34,61.904761904761905
1997,chao-dyn,2,100.0
1994,cond-mat,5,150.0
1997,cond-mat,23,283.33333333333337
2001,cond-mat,35,59.09090909090908
2007,cond-mat,51,54.54545454545454
2018,cond-mat,101,50.74626865671641
2003,cs,7,133.33333333333334
2008,cs,24,380.0
2011,cs,47,56.666666666666664
2012,cs,74,57.446808510638306
2016,cs,122,52.49999999999999
2018,econ,3,200.0
2022,econ,10,150.0
2024,econ,9,125.0
2017,eess,4,300.0
2018,eess,14,250.0
2019,eess,40,185.71428571428572
1996,gr-qc,6,200.0
1998,gr-qc,5,150.0
2003,gr-qc,11,175.0
2009,gr-qc,16,166.66666666666666
2012,gr-qc,20,53.846153846153854
2016,gr-qc,24,60.00000000000001
2019,gr-qc,27,200.0
1997,hep-ex,2,100.0
1999,hep-ex,6,500.0
2005,hep-ex,7,75.0
2008,hep-ex,7,133.33333333333334
2009,hep-ex,12,71.42857142857142
2019,hep-ex,11,57.14285714285714
2021,hep-ex,14,55.55555555555556
1993,hep-lat,2,100.0
1999,hep-lat,2,100.0
2000,hep-lat,6,200.0
2003,hep-lat,5,150.0
2008,hep-lat,2,100.0
2010,hep-lat,4,300.0
2012,hep-lat,3,200.0
2014,hep-lat,5,66.66666666666667
2019,hep-lat,3,200.0
2022,hep-lat,2,100.0
2023,hep-lat,6,200.0
1994,hep-ph,9,80.0
1996,hep-ph,16,60.00000000000001
1999,hep-ph,22,120.00000000000001
2001,hep-ph,20,81.81818181818181
2013,hep-ph,21,75.0
1992,hep-th,2,100.0
1993,hep-th,10,400.0
1999,hep-th,18,100.0
2003,hep-th,25,66.66666666666667
2009,hep-th,23,64.28571428571428
1995,math,4,100.0
1996,math,7,75.0
1999,math,12,71.42857142857142
2000,math,24,100.0
2002,math,42,200.0
2007,math,80,60.00000000000001
2000,math-ph,8,166.66666666666666
2002,math-ph,9,200.0
2006,math-ph,11,266.66666666666663
2018,math-ph,16,128.57142857142856
1996,nlin,6,500.0
2001,nlin,3,200.0
2004,nlin,6,200.0
2006,nlin,5,66.66666666666667
2010,nlin,4,100.0
2013,nlin,5,66.66666666666667
2015,nlin,9,200.0
2023,nlin,8,166.66666666666666
1999,nucl-ex,3,200.0
2005,nucl-ex,2,100.0
2009,nucl-ex,7,600.0
2011,nucl-ex,5,150.0
2014,nucl-ex,8,166.66666666666666
2018,nucl-ex,5,150.0
2025,nucl-ex,4,300.0
1993,nucl-th,2,100.0
1995,nucl-th,5,150.0
2003,nucl-th,7,75.0
2009,nucl-th,4,100.0
2015,nucl-th,10,100.0
2023,nucl-th,14,100.0
2025,nucl-th,10,233.33333333333334
1998,physics,3,200.0
1999,physics,5,66.66666666666667
2002,physics,7,75.0
2003,physics,12,71.42857142857142
2005,physics,13,62.5
2007,physics,22,57.14285714285714
2011,physics,37,54.16666666666667
2013,physics,59,51.28205128205128
2018,physics,82,54.71698113207548
2003,q-bio,2,100.0
2005,q-bio,5,150.0
2013,q-bio,12,71.42857142857142
2018,q-bio,10,150.0
2023,q-bio,11,57.14285714285714
2024,q-bio,27,145.45454545454547
2005,q-fin,3,200.0
2012,q-fin,2,100.0
2014,q-fin,6,100.0
2018,q-fin,5,400.0
2020,q-fin,6,100.0
2022,q-fin,8,60.00000000000001
2024,q-fin,11,175.0
1996,quant-ph,2,100.0
1997,quant-ph,5,150.0
2004,quant-ph,10,66.66666666666667
2006,quant-ph,14,75.0
2008,quant-ph,13,85.71428571428572
2018,quant-ph,31,82.35294117647058
1999,solv-int,2,100.0
2006,stat,4,100.0
2008,stat,10,150.0
2010,stat,9,80.0
2011,stat,24,166.66666666666666
2014,stat,18,80.0
2018,stat,44,76.0
