paper_age,mean,median,count
0,1.2084805653710247,0.0,849
1,7.507075471698113,2.0,848
2,11.64864864864865,3.0,740
3,12.80370942812983,5.0,647
4,21.089456869009584,5.0,626
5,22.84263959390863,7.0,591
6,26.520282186948855,7.0,567
7,30.90748031496063,10.0,508
8,37.89135802469136,10.0,405
9,40.37378640776699,10.0,412
10,30.658045977011493,12.0,348
11,35.95757575757576,12.0,330
12,78.99079754601227,11.0,326
13,27.345070422535212,12.0,284
14,29.942528735632184,12.0,261
15,33.254826254826256,14.0,259
16,36.665116279069764,17.0,215
17,38.116504854368934,16.0,206
18,30.731182795698924,11.0,186
19,33.957317073170735,14.0,164
20,43.31666666666667,14.0,180
21,43.1875,16.0,160
22,53.66883116883117,15.0,154
23,46.097744360902254,16.0,133
24,31.09016393442623,10.0,122
25,36.20454545454545,11.5,88
26,21.42718446601942,9.0,103
27,48.94202898550725,10.0,69
28,46.06849315068493,9.0,73
29,22.452830188679247,8.0,53
30,28.37837837837838,7.0,37
31,35.44827586206897,6.0,29
32,34.23809523809524,6.0,21
33,50.4,20.0,5
