keyword,historical_count,recent_count,growth_rate,historical_frequency,recent_frequency,frequency_increase
learning,427,1747,309.1334894613583,0.07492542551324793,0.40618460823064406,0.33125918271739613
models,1160,2134,83.9655172413793,0.20354448148798035,0.4961636828644501,0.2926192013764698
data,1677,2415,44.00715563506261,0.2942621512546061,0.5614973262032086,0.2672351749486025
performance,478,1229,157.11297071129707,0.08387436392349536,0.2857475005812602,0.20187313665776485
model,2544,2708,6.446540880503145,0.4463941042288121,0.6296210183678215,0.18322691413900938
methods,537,1185,120.67039106145252,0.09422705737848745,0.2755173215531272,0.18129026417463973
training,176,758,330.6818181818182,0.030882610984383226,0.1762380841664729,0.1453554731820897
framework,441,934,111.79138321995465,0.07738199684155114,0.2171588002790049,0.13977680343745374
tasks,105,656,524.7619047619048,0.018424284962274082,0.15252266914671006,0.13409838418443598
using,1696,1833,8.077830188679245,0.2975960694858747,0.4261799581492676,0.12858388866339293
however,521,939,80.23032629558541,0.09141954728899807,0.2183213206231109,0.12690177333411284
while,548,946,72.62773722627736,0.0961572205650114,0.21994884910485935,0.12379162853984794
language,99,604,510.1010101010101,0.017371468678715564,0.14043245756800743,0.12306098888929187
work,535,921,72.14953271028037,0.09387611861730127,0.21413624738432924,0.12026012876702796
their,1124,1339,19.128113879003557,0.19722758378662925,0.31132294815159267,0.11409536436496343
neural,210,634,201.9047619047619,0.036848569924548165,0.14740757963264356,0.1105590097080954
demonstrate,371,755,103.50404312668464,0.0650991402000351,0.1755405719600093,0.1104414317599742
across,143,565,295.10489510489515,0.025092121424811372,0.13136479888398048,0.1062726774591691
existing,218,615,182.11009174311928,0.03825232496929286,0.1429900023250407,0.10473767735574784
information,536,851,58.76865671641791,0.09405158799789437,0.19786096256684493,0.10380937456895056
image,232,615,165.08620689655174,0.04070889629759607,0.1429900023250407,0.10228110602744463
generation,131,517,294.6564885496183,0.02298648885769433,0.12020460358056266,0.09721811472286833
proposed,675,924,36.888888888888886,0.11844183190033339,0.21483375959079284,0.09639192769045946
datasets,115,500,334.7826086956522,0.020178978768204948,0.11625203441060218,0.09607305564239724
accuracy,209,545,160.76555023923444,0.03667310054395508,0.1267147175075564,0.0900416169636013
dataset,106,467,340.566037735849,0.01859975434286717,0.10857940013950244,0.08997964579663528
into,769,957,24.44733420026008,0.13493595367608352,0.22250639386189258,0.08757044018580906
network,630,845,34.12698412698413,0.1105457097736445,0.1964659381539177,0.08592022838027319
based,1021,1139,11.557296767874632,0.17915423758554133,0.2648221343873518,0.08566789680181047
knowledge,155,477,207.74193548387098,0.02719775399192841,0.11090444082771449,0.08370668683578608
through,523,730,39.5793499043977,0.09177048605018424,0.1697279702394792,0.07795748418929495
task,126,428,239.68253968253967,0.0221091419547289,0.09951174145547548,0.07740259950074657
llms,0,330,999999.0,0.0,0.07672634271099744,0.07672634271099744
deep,290,545,87.93103448275862,0.05088612037199509,0.1267147175075564,0.07582859713556131
features,349,587,68.19484240687679,0.06123881382698719,0.13647988839804698,0.07524107457105979
detection,352,582,65.3409090909091,0.06176522196876645,0.13531736805394096,0.0735521460851745
design,252,505,100.39682539682539,0.0442182839094578,0.1174145547547082,0.0731962708452504
experiments,405,619,52.8395061728395,0.07106509914020004,0.1439200186003255,0.07285491946012546
control,276,518,87.68115942028986,0.04842954904369188,0.12043710764938387,0.072007558605692
optimization,205,461,124.8780487804878,0.03597122302158273,0.10718437572657522,0.07121315270499248
introduce,262,504,92.36641221374046,0.04597297771538866,0.11718205068588701,0.07120907297049835
approaches,212,460,116.98113207547169,0.03719950868573434,0.10695187165775401,0.06975236297201967
images,228,471,106.57894736842107,0.040007018775223724,0.10950941641478726,0.06950239763956353
state-of-the-art,114,379,232.45614035087718,0.020003509387611862,0.08811904208323645,0.06811553269562459
address,122,380,211.47540983606555,0.021407264432356552,0.08835154615205766,0.06694428171970111
efficient,223,453,103.13901345291481,0.03912967187225829,0.10532434317600559,0.06619467130374729
often,143,392,174.12587412587413,0.025092121424811372,0.09114159497791212,0.06604947355310074
machine,115,366,218.26086956521738,0.020178978768204948,0.0850964891885608,0.06491751042035586
evaluation,100,352,252.0,0.01754693805930865,0.08184143222506395,0.06429449416575529
over,699,804,15.021459227467812,0.12265309703456746,0.18693327133224832,0.06428017429768086
paper,494,648,31.17408906882591,0.08668187401298473,0.15066263659614043,0.0639807625831557
systems,1038,1058,1.9267822736030826,0.1821372170556238,0.24598930481283424,0.06385208775721044
feature,165,393,138.1818181818182,0.028952447797859274,0.09137409904673331,0.06242165124887404
challenges,89,335,276.4044943820225,0.015616774872784699,0.07788886305510347,0.06227208818231877
code,169,395,133.72781065088756,0.02965432532023162,0.09183910718437573,0.062184781864144105
