feature,importance
abstract_length,0.2586735613161244
title_length,0.18738083839708344
submission_year,0.13940134687067682
paper_age,0.1183350786814797
num_authors,0.10612681401310912
num_categories,0.07945013307736266
category_cs,0.047451063057493366
category_math,0.018512435960134
category_astro-ph,0.017754821131281583
category_hep-th,0.009405682957119646
category_stat,0.004916423282807869
category_cond-mat,0.003913584613837791
category_quant-ph,0.0030023519749436426
category_physics,0.002796992701040973
category_eess,0.0015388595976129254
category_hep-ph,0.0013400123678922035
