submission_year,main_categories,count,yoy_growth
1994,adap-org,1,0.0
1996,adap-org,2,100.0
1997,adap-org,1,-50.0
1998,adap-org,1,0.0
1994,alg-geom,1,0.0
1996,alg-geom,2,100.0
1997,alg-geom,3,50.0
1993,astro-ph,1,0.0
1994,astro-ph,4,300.0
1995,astro-ph,8,100.0
1996,astro-ph,9,12.5
1997,astro-ph,13,44.44444444444444
1998,astro-ph,14,7.692307692307687
1999,astro-ph,25,78.57142857142858
2000,astro-ph,21,-16.000000000000004
2001,astro-ph,34,61.904761904761905
2002,astro-ph,19,-44.11764705882353
2003,astro-ph,27,42.10526315789473
2004,astro-ph,35,29.629629629629626
2005,astro-ph,36,2.857142857142847
2006,astro-ph,49,36.111111111111114
2007,astro-ph,34,-30.612244897959183
2008,astro-ph,40,17.647058823529417
2009,astro-ph,54,35.00000000000001
2010,astro-ph,60,11.111111111111116
2011,astro-ph,51,-15.000000000000002
2012,astro-ph,65,27.450980392156854
2013,astro-ph,62,-4.61538461538461
2014,astro-ph,73,17.741935483870975
2015,astro-ph,66,-9.589041095890416
2016,astro-ph,86,30.303030303030297
2017,astro-ph,55,-36.04651162790697
2018,astro-ph,61,10.909090909090914
2019,astro-ph,86,40.98360655737705
2020,astro-ph,85,-1.1627906976744207
2021,astro-ph,88,3.529411764705892
2022,astro-ph,64,-27.27272727272727
2023,astro-ph,69,7.8125
2024,astro-ph,80,15.94202898550725
2025,astro-ph,96,19.999999999999996
1996,atom-ph,1,0.0
1995,chao-dyn,1,0.0
1996,chao-dyn,1,0.0
1997,chao-dyn,2,100.0
1998,chao-dyn,3,50.0
1999,chao-dyn,1,-66.66666666666667
1992,cond-mat,2,0.0
1993,cond-mat,2,0.0
1994,cond-mat,5,150.0
1995,cond-mat,6,19.999999999999996
1996,cond-mat,6,0.0
1997,cond-mat,23,283.33333333333337
1998,cond-mat,21,-8.695652173913048
1999,cond-mat,27,28.57142857142858
2000,cond-mat,22,-18.518518518518523
2001,cond-mat,35,59.09090909090908
2002,cond-mat,48,37.142857142857146
2003,cond-mat,52,8.333333333333325
2004,cond-mat,45,-13.461538461538458
2005,cond-mat,51,13.33333333333333
2006,cond-mat,33,-35.29411764705882
2007,cond-mat,51,54.54545454545454
2008,cond-mat,45,-11.764705882352944
2009,cond-mat,56,24.444444444444446
2010,cond-mat,66,17.85714285714286
2011,cond-mat,50,-24.242424242424242
2012,cond-mat,58,15.999999999999993
2013,cond-mat,68,17.24137931034482
2014,cond-mat,70,2.941176470588225
2015,cond-mat,67,-4.285714285714281
2016,cond-mat,67,0.0
2017,cond-mat,67,0.0
2018,cond-mat,101,50.74626865671641
2019,cond-mat,89,-11.881188118811881
2020,cond-mat,105,17.97752808988764
2021,cond-mat,101,-3.809523809523807
2022,cond-mat,112,10.8910891089109
2023,cond-mat,94,-16.07142857142857
2024,cond-mat,101,7.446808510638303
2025,cond-mat,114,12.871287128712861
2001,cs,6,0.0
2002,cs,3,-50.0
2003,cs,7,133.33333333333334
2004,cs,8,14.28571428571428
2005,cs,8,0.0
2006,cs,4,-50.0
2007,cs,5,25.0
2008,cs,24,380.0
2009,cs,22,-8.333333333333337
