submission_year,main_categories,count,total,proportion
1991,hep-th,1,1,1.0
1992,cond-mat,2,6,0.3333333333333333
1992,hep-lat,1,6,0.16666666666666666
1992,hep-th,2,6,0.3333333333333333
1992,nucl-th,1,6,0.16666666666666666
1993,astro-ph,1,30,0.03333333333333333
1993,cond-mat,2,30,0.06666666666666667
1993,gr-qc,8,30,0.26666666666666666
1993,hep-lat,2,30,0.06666666666666667
1993,hep-ph,5,30,0.16666666666666666
1993,hep-th,10,30,0.3333333333333333
1993,nucl-th,2,30,0.06666666666666667
1994,adap-org,1,39,0.02564102564102564
1994,alg-geom,1,39,0.02564102564102564
1994,astro-ph,4,39,0.10256410256410256
1994,cond-mat,5,39,0.1282051282051282
1994,gr-qc,3,39,0.07692307692307693
1994,hep-lat,2,39,0.05128205128205128
1994,hep-ph,9,39,0.23076923076923078
1994,hep-th,6,39,0.15384615384615385
1994,math,2,39,0.05128205128205128
1994,nlin,2,39,0.05128205128205128
1994,nucl-th,2,39,0.05128205128205128
1994,q-bio,1,39,0.02564102564102564
1994,solv-int,1,39,0.02564102564102564
1995,astro-ph,8,53,0.1509433962264151
1995,chao-dyn,1,53,0.018867924528301886
1995,cond-mat,6,53,0.11320754716981132
1995,dg-ga,1,53,0.018867924528301886
1995,gr-qc,2,53,0.03773584905660377
1995,hep-ex,1,53,0.018867924528301886
1995,hep-lat,2,53,0.03773584905660377
1995,hep-ph,10,53,0.18867924528301888
1995,hep-th,8,53,0.1509433962264151
1995,math,4,53,0.07547169811320754
1995,mtrl-th,1,53,0.018867924528301886
1995,nlin,1,53,0.018867924528301886
1995,nucl-th,5,53,0.09433962264150944
1995,q-alg,2,53,0.03773584905660377
1995,quant-ph,1,53,0.018867924528301886
1996,adap-org,2,76,0.02631578947368421
1996,alg-geom,2,76,0.02631578947368421
1996,astro-ph,9,76,0.11842105263157894
1996,atom-ph,1,76,0.013157894736842105
1996,chao-dyn,1,76,0.013157894736842105
1996,cond-mat,6,76,0.07894736842105263
1996,gr-qc,6,76,0.07894736842105263
1996,hep-lat,2,76,0.02631578947368421
1996,hep-ph,16,76,0.21052631578947367
1996,hep-th,8,76,0.10526315789473684
1996,math,7,76,0.09210526315789473
1996,mtrl-th,1,76,0.013157894736842105
1996,nlin,6,76,0.07894736842105263
1996,patt-sol,3,76,0.039473684210526314
1996,physics,1,76,0.013157894736842105
1996,q-alg,3,76,0.039473684210526314
1996,quant-ph,2,76,0.02631578947368421
1997,adap-org,1,104,0.009615384615384616
1997,alg-geom,3,104,0.028846153846153848
1997,astro-ph,13,104,0.125
1997,chao-dyn,2,104,0.019230769230769232
1997,cond-mat,23,104,0.22115384615384615
1997,funct-an,1,104,0.009615384615384616
1997,gr-qc,2,104,0.019230769230769232
1997,hep-ex,2,104,0.019230769230769232
1997,hep-lat,1,104,0.009615384615384616
1997,hep-ph,12,104,0.11538461538461539
1997,hep-th,9,104,0.08653846153846154
1997,math,10,104,0.09615384615384616
1997,math-ph,2,104,0.019230769230769232
1997,nlin,5,104,0.04807692307692308
1997,nucl-ex,1,104,0.009615384615384616
1997,nucl-th,4,104,0.038461538461538464
1997,patt-sol,1,104,0.009615384615384616
1997,physics,1,104,0.009615384615384616
1997,q-alg,4,104,0.038461538461538464
1997,q-bio,1,104,0.009615384615384616
1997,quant-ph,5,104,0.04807692307692308
1997,solv-int,1,104,0.009615384615384616
1998,adap-org,1,96,0.010416666666666666
1998,astro-ph,14,96,0.14583333333333334
1998,chao-dyn,3,96,0.03125
1998,cond-mat,21,96,0.21875
1998,gr-qc,5,96,0.052083333333333336
1998,hep-ex,1,96,0.010416666666666666
1998,hep-lat,1,96,0.010416666666666666
1998,hep-ph,10,96,0.10416666666666667
1998,hep-th,9,96,0.09375
1998,math,7,96,0.07291666666666667
1998,math-ph,2,96,0.020833333333333332
1998,nlin,6,96,0.0625
1998,nucl-th,4,96,0.041666666666666664
1998,patt-sol,1,96,0.010416666666666666
1998,physics,3,96,0.03125
1998,quant-ph,7,96,0.07291666666666667
1998,solv-int,1,96,0.010416666666666666
1999,astro-ph,25,152,0.16447368421052633
1999,chao-dyn,1,152,0.006578947368421052
1999,cond-mat,27,152,0.17763157894736842
1999,gr-qc,7,152,0.046052631578947366
1999,hep-ex,6,152,0.039473684210526314
1999,hep-lat,2,152,0.013157894736842105
1999,hep-ph,22,152,0.14473684210526316
1999,hep-th,18,152,0.11842105263157894
1999,math,12,152,0.07894736842105263
1999,math-ph,3,152,0.019736842105263157
1999,nlin,3,152,0.019736842105263157
1999,nucl-ex,3,152,0.019736842105263157
1999,nucl-th,5,152,0.03289473684210526
1999,physics,5,152,0.03289473684210526
1999,q-bio,1,152,0.006578947368421052
1999,quant-ph,10,152,0.06578947368421052
1999,solv-int,2,152,0.013157894736842105
2000,astro-ph,21,139,0.1510791366906475
2000,cond-mat,22,139,0.15827338129496402
2000,gr-qc,9,139,0.06474820143884892
2000,hep-ex,6,139,0.04316546762589928
2000,hep-lat,6,139,0.04316546762589928
2000,hep-ph,11,139,0.07913669064748201
2000,hep-th,11,139,0.07913669064748201
2000,math,24,139,0.17266187050359713
2000,math-ph,8,139,0.05755395683453238
2000,nlin,1,139,0.007194244604316547
2000,nucl-th,2,139,0.014388489208633094
2000,physics,5,139,0.03597122302158273
2000,q-fin,1,139,0.007194244604316547
2000,quant-ph,12,139,0.08633093525179857
2001,astro-ph,34,165,0.20606060606060606
2001,cond-mat,35,165,0.21212121212121213
2001,cs,6,165,0.03636363636363636
2001,gr-qc,10,165,0.06060606060606061
2001,hep-ex,6,165,0.03636363636363636
2001,hep-lat,4,165,0.024242424242424242
2001,hep-ph,20,165,0.12121212121212122
2001,hep-th,11,165,0.06666666666666667
2001,math,14,165,0.08484848484848485
2001,math-ph,3,165,0.01818181818181818
2001,nlin,3,165,0.01818181818181818
2001,nucl-th,3,165,0.01818181818181818
2001,physics,4,165,0.024242424242424242
2001,quant-ph,12,165,0.07272727272727272
2002,astro-ph,19,197,0.09644670050761421
2002,cond-mat,48,197,0.2436548223350254
2002,cs,3,197,0.015228426395939087
2002,gr-qc,4,197,0.02030456852791878
2002,hep-ex,5,197,0.025380710659898477
2002,hep-lat,2,197,0.01015228426395939
2002,hep-ph,21,197,0.1065989847715736
2002,hep-th,15,197,0.07614213197969544
2002,math,42,197,0.2131979695431472
2002,math-ph,9,197,0.04568527918781726
2002,nlin,3,197,0.015228426395939087
2002,nucl-ex,3,197,0.015228426395939087
2002,nucl-th,4,197,0.02030456852791878
2002,physics,7,197,0.03553299492385787
2002,q-bio,1,197,0.005076142131979695
2002,q-fin,1,197,0.005076142131979695
2002,quant-ph,10,197,0.050761421319796954
2003,astro-ph,27,238,0.1134453781512605
2003,cond-mat,52,238,0.2184873949579832
2003,cs,7,238,0.029411764705882353
2003,gr-qc,11,238,0.046218487394957986
2003,hep-ex,7,238,0.029411764705882353
2003,hep-lat,5,238,0.02100840336134454
2003,hep-ph,24,238,0.10084033613445378
2003,hep-th,25,238,0.10504201680672269
2003,math,41,238,0.1722689075630252
2003,math-ph,8,238,0.03361344537815126
2003,nlin,2,238,0.008403361344537815
2003,nucl-ex,1,238,0.004201680672268907
2003,nucl-th,7,238,0.029411764705882353
2003,physics,12,238,0.05042016806722689
2003,q-bio,2,238,0.008403361344537815
2003,q-fin,1,238,0.004201680672268907
